date,moon
2025-05-01,47.062
2025-05-04,86.591
2025-05-07,126.12
2025-05-10,165.65
2025-05-13,205.179
2025-05-16,244.708
2025-05-19,284.237
2025-05-22,323.766
2025-05-25,3.296
2025-05-28,42.825
2025-05-31,82.354
2025-06-03,121.883
2025-06-06,161.412
2025-06-09,200.942
2025-06-12,240.471
2025-06-15,280.0
2025-06-18,319.529
2025-06-21,359.058
2025-06-24,38.588
2025-06-27,78.117
2025-06-30,117.646
2025-07-03,157.175
2025-07-06,196.704
2025-07-09,236.234
2025-07-12,275.763
2025-07-15,315.292
2025-07-18,354.821
2025-07-21,34.35
2025-07-24,73.88
2025-07-27,113.409
2025-07-30,152.938
