date,sidereal_deg,date_obj,year,month,day,hour,minute,tropical_deg,sign,deg_in_sign
2025-Jun-01 00:00,135.4931003,2025-06-01,2025,6,1,0,0,135.1438503,♌,15.14
2025-Jun-02 00:00,148.4132679,2025-06-02,2025,6,2,0,0,148.06401789999998,♌,28.06
2025-Jun-03 00:00,160.9421155,2025-06-03,2025,6,3,0,0,160.5928655,♍,10.59
2025-Jun-04 00:00,173.1610317,2025-06-04,2025,6,4,0,0,172.81178169999998,♍,22.81
2025-Jun-05 00:00,185.1584269,2025-06-05,2025,6,5,0,0,184.80917689999998,♎,4.81
2025-Jun-06 00:00,197.021413,2025-06-06,2025,6,6,0,0,196.67216299999998,♎,16.67
2025-Jun-07 00:00,208.8300364,2025-06-07,2025,6,7,0,0,208.4807864,♎,28.48
2025-Jun-08 00:00,220.6534724,2025-06-08,2025,6,8,0,0,220.3042224,♏,10.3
2025-Jun-09 00:00,232.5477632,2025-06-09,2025,6,9,0,0,232.19851319999998,♏,22.2
2025-Jun-10 00:00,244.5549561,2025-06-10,2025,6,10,0,0,244.2057061,♐,4.21
2025-Jun-11 00:00,256.7037007,2025-06-11,2025,6,11,0,0,256.35445070000003,♐,16.35
2025-Jun-12 00:00,269.0113884,2025-06-12,2025,6,12,0,0,268.6621384,♐,28.66
2025-Jun-13 00:00,281.4877276,2025-06-13,2025,6,13,0,0,281.13847760000004,♑,11.14
2025-Jun-14 00:00,294.1392944,2025-06-14,2025,6,14,0,0,293.7900444,♑,23.79
2025-Jun-15 00:00,306.9742063,2025-06-15,2025,6,15,0,0,306.6249563,♒,6.62
2025-Jun-16 00:00,320.0058047,2025-06-16,2025,6,16,0,0,319.6565547,♒,19.66
2025-Jun-17 00:00,333.2541918,2025-06-17,2025,6,17,0,0,332.9049418,♓,2.9
2025-Jun-18 00:00,346.744676,2025-06-18,2025,6,18,0,0,346.39542600000004,♓,16.4
2025-Jun-19 00:00,0.5025824,2025-06-19,2025,6,19,0,0,0.15333239999999998,♈,0.15
2025-Jun-20 00:00,14.5445196,2025-06-20,2025,6,20,0,0,14.1952696,♈,14.2
2025-Jun-21 00:00,28.8671784,2025-06-21,2025,6,21,0,0,28.5179284,♈,28.52
2025-Jun-22 00:00,43.4361641,2025-06-22,2025,6,22,0,0,43.0869141,♉,13.09
2025-Jun-23 00:00,58.1788572,2025-06-23,2025,6,23,0,0,57.829607200000005,♉,27.83
2025-Jun-24 00:00,72.9857626,2025-06-24,2025,6,24,0,0,72.6365126,♊,12.64
2025-Jun-25 00:00,87.7228268,2025-06-25,2025,6,25,0,0,87.37357680000001,♊,27.37
2025-Jun-26 00:00,102.2526908,2025-06-26,2025,6,26,0,0,101.9034408,♋,11.9
2025-Jun-27 00:00,116.4582353,2025-06-27,2025,6,27,0,0,116.1089853,♋,26.11
2025-Jun-28 00:00,130.2605562,2025-06-28,2025,6,28,0,0,129.91130619999998,♌,9.91
2025-Jun-29 00:00,143.626686,2025-06-29,2025,6,29,0,0,143.277436,♌,23.28
2025-Jun-30 00:00,156.567324,2025-06-30,2025,6,30,0,0,156.218074,♍,6.22
